Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price
Maruti Omni 8 Seater BSIV,Coimbatore,4767.51,2016,55137,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5,
Skoda Superb 2009-2014 Elegance 2.0 TDI MT,Jaipur,22151.27,2014,93325,Diesel,Manual,Second,17.2 kmpl,1968 CC,138.1 bhp,5,
Maruti Ertiga SHVS VDI,Ahmedabad,13336.75,2018,38000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7,
Hyundai Grand i10 CRDi Magna,Kochi,7726.12,2016,57738,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5,
Maruti Ciaz VDi Plus SHVS,Jaipur,13030.16,2017,38282,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5,
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Delhi,23990.82,2014,64000,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5,
Fiat Avventura MULTIJET Emotion,Mumbai,8661.22,2015,32000,Diesel,Manual,First,20.5 kmpl,1248 CC,91.72 bhp,5,
Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Bangalore,25293.84,2010,83000,Petrol,Automatic,First,10.93 kmpl,2497 CC,204 bhp,5,
Maruti Zen Estilo LXI Green (CNG),Ahmedabad,3065.92,2011,76000,CNG,Manual,First,26.3 kmpl,998 CC,67.1 bhp,5,
Volkswagen Vento Petrol Highline,Pune,5978.54,2012,67200,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5,
BMW 3 Series 320d Luxury Line,Jaipur,22227.92,2013,62655,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5,
BMW 5 Series 2013-2017 530d M Sport,Bangalore,67450.24,2015,16900,Diesel,Automatic,First,14.69 kmpl,2993 CC,258 bhp,5,
Hyundai Grand i10 1.2 Kappa Magna,Delhi,7664.8,2017,8471,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,6.54 Lakh
Toyota Innova Crysta 2.8 ZX AT,Hyderabad,30275.96,2016,69000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7,26.56 Lakh
Renault Duster 110PS Diesel RxZ AMT,Coimbatore,17537.06,2017,30090,Diesel,Automatic,First,19.6 kmpl,1461 CC,108.45 bhp,5,15.05 Lakh
Tata Indica Vista Aura 1.3 Quadrajet,Chennai,2682.68,2011,120000,Diesel,Manual,First,18.0 kmpl,1248 CC,75 bhp,5,
Maruti Swift VDI BSIV,Bangalore,8584.58,2013,23000,Diesel,Manual,First,17.8 kmpl,1248 CC,null bhp,5,
Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde,Kochi,46632.64,2016,35939,Petrol,Manual,First,12.3 kmpl,1796 CC,185 bhp,5,
Mahindra XUV500 W8 4WD,Coimbatore,14670.43,2013,116694,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,
Mahindra Bolero ZLX,Mumbai,5365.36,2016,40448,Diesel,Manual,First,15.96 kmpl,2523 CC,62.1 bhp,7,11.01 Lakh
Maruti Vitara Brezza ZDi,Coimbatore,16034.76,2018,64456,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,11 Lakh
Fiat Avventura MULTIJET Emotion,Pune,7434.86,2014,52782,Diesel,Manual,First,20.5 kmpl,1248 CC,91.72 bhp,5,
Honda Amaze S Petrol,Kochi,8707.21,2016,51672,Petrol,Manual,First,19.5 kmpl,1199 CC,88.76 bhp,5,7.55 Lakh
Skoda Superb Elegance 1.8 TSI AT,Mumbai,20311.72,2015,56073,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5,
Jaguar XF 3.0 Litre S Premium Luxury,Bangalore,24527.36,2011,65000,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5,
Maruti Wagon R VXI BSIII,Chennai,4598.88,2013,79000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,
Hyundai Santro Xing XL eRLX Euro III,Kolkata,1517.63,2007,43206,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5,
Toyota Corolla Altis VL,Mumbai,7664.8,2010,70200,Petrol,Automatic,First,14.53 kmpl,1798 CC,138.1 bhp,5,
Maruti Swift VXi BSIV,Delhi,7281.56,2016,42000,Petrol,Manual,First,16.1 kmpl,1197 CC,85 bhp,5,
Volkswagen Polo 1.2 MPI Highline,Bangalore,8201.34,2014,62000,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5,
Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,9167.1,2017,20000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,7.82 Lakh
Maruti SX4 ZDI,Chennai,5365.36,2011,80000,Diesel,Manual,Third,21.5 kmpl,1248 CC,88.8 bhp,5,
Hyundai Grand i10 1.2 Kappa Magna,Kochi,7312.22,2018,50234,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,6.32 Lakh
Maruti Baleno Delta 1.2,Delhi,8354.63,2016,50003,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,
Tata Tigor 1.2 Revotron XTA,Ahmedabad,10500.78,2018,1000,Petrol,Automatic,First,20.3 kmpl,1199 CC,84 bhp,5,
Maruti Swift Dzire AMT ZDI,Jaipur,11190.61,2016,54897,Diesel,Automatic,First,26.59 kmpl,1248 CC,74 bhp,5,
Tata Indica GLS BS IV,Pune,1916.2,2007,108995,Petrol,Manual,First,15.3 kmpl,1193 CC,65.3 bhp,5,
Maruti SX4 S Cross DDiS 320 Zeta,Chennai,12646.92,2015,73000,Diesel,Manual,First,22.7 kmpl,1598 CC,118 bhp,5,
Maruti Swift VXI BSIII,Ahmedabad,4154.32,2008,65000,Petrol,Manual,First,16.1 kmpl,1298 CC,88.2 bhp,5,
Hyundai Xcent 1.2 Kappa SX,Kolkata,5518.66,2016,32000,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5,
Hyundai i20 1.2 Magna,Ahmedabad,4598.88,2010,65000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5,
Maruti Celerio VXI AT,Hyderabad,7128.26,2016,21600,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Mumbai,14563.12,2010,39000,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5,
Maruti Swift Dzire VXi,Mumbai,4522.23,2011,58075,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5,
Volkswagen Vento Petrol Trendline,Mumbai,4598.88,2011,58000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5,
Maruti Swift ZDi,Hyderabad,9121.11,2015,58000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,
Toyota Corolla Altis VL,Delhi,6131.84,2008,89000,Petrol,Automatic,First,14.53 kmpl,1798 CC,138.1 bhp,5,
Honda Civic 2006-2010 1.8 V MT,Delhi,3832.4,2008,72000,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,
Ford EcoSport 1.5 Ti VCT AT Titanium BE,Kolkata,17429.76,2017,1800,Petrol,Automatic,First,16.05 kmpl,1499 CC,110.4 bhp,5,
Fiat Linea Emotion Pack (Diesel),Pune,3449.16,2010,172050,Diesel,Manual,Second,19.0 kmpl,1248 CC,93 bhp,5,
Hyundai i10 Era,Jaipur,4752.18,2013,46230,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5,
Volvo XC60 D5 Inscription,Kochi,26336.25,2014,86925,Diesel,Automatic,First,11.2 kmpl,2400 CC,215 bhp,5,
Hyundai i20 1.2 Asta,Jaipur,9964.24,2018,5000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,
Honda City i DTEC S,Ahmedabad,8737.87,2014,66000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Ahmedabad,12263.68,2013,119000,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,8,
Renault KWID RXT,Chennai,3985.7,2016,45000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,
Maruti A-Star Vxi,Hyderabad,3755.75,2009,66149,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5,
Mercedes-Benz B Class B180,Kochi,17736.35,2014,42070,Petrol,Automatic,First,14.8 kmpl,1595 CC,120.7 bhp,5,
Maruti Wagon R LXI BS IV,Kolkata,3525.81,2012,35503,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,
Maruti Swift VDI BSIV,Jaipur,9044.46,2016,41460,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,
Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,11037.31,2015,40600,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5,15.14 Lakh
Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,9044.46,2013,87000,Diesel,Automatic,First,22.0 kmpl,1582 CC,126.2 bhp,5,15.72 Lakh
Honda City V MT,Chennai,9197.76,2014,30000,Petrol,Manual,Second,16.8 kmpl,1497 CC,116.3 bhp,5,
Hyundai i10 Magna Optional 1.1L,Kolkata,2989.27,2010,27089,Petrol,Manual,First,16.0 kmpl,1086 CC,66.7 bhp,5,
Toyota Etios GD SP,Coimbatore,10040.89,2016,53702,Diesel,Manual,First,23.59 kmpl,1364 CC,67.04 bhp,5,
Volvo S60 D4 Momentum,Hyderabad,38324,2015,51000,Diesel,Automatic,First,27.03 kmpl,1969 CC,190 bhp,5,45.67 Lakh
Ford Figo Diesel EXI,Kolkata,4062.34,2012,36542,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,
Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,Mumbai,106540.72,2017,15000,Diesel,Automatic,First,13.0 kmpl,2987 CC,265 bhp,5,
BMW 3 Series 320d Luxury Line,Chennai,21461.44,2012,65000,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,54.7 Lakh
Maruti Alto 800 VXI,Pune,3219.22,2014,32000,Petrol,Manual,Second,22.74 kmpl,796 CC,47.3 bhp,5,
Toyota Innova Crysta 2.4 VX MT,Hyderabad,31272.38,2017,24393,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7,22.87 Lakh
Volkswagen Polo 1.0 MPI Trendline,Hyderabad,8707.21,2019,1000,Petrol,Manual,First,18.78 kmpl,999 CC,75 bhp,5,6.74 Lakh
Nissan Terrano XL,Mumbai,8507.93,2014,28238,Petrol,Manual,First,13.24 kmpl,1598 CC,102.5 bhp,5,
Mitsubishi Pajero Sport 4X4,Mumbai,19545.24,2013,59000,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7,33.09 Lakh
Honda Civic 2010-2013 1.8 S MT,Mumbai,5135.42,2012,92000,Petrol,Manual,Second,14.8 kmpl,1799 CC,130.2 bhp,5,
Maruti Alto 800 LXI,Kolkata,2376.09,2013,56840,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,
Volkswagen Vento Diesel Highline,Coimbatore,9044.46,2013,62746,Diesel,Manual,Second,20.54 kmpl,1598 CC,103.6 bhp,5,
Land Rover Freelander 2 HSE,Hyderabad,29095.58,2012,96000,Diesel,Automatic,First,12.35 kmpl,2179 CC,187.74 bhp,5,
Honda CR-V 2.0L 2WD MT,Mumbai,17644.37,2014,24000,Petrol,Manual,First,13.7 kmpl,1997 CC,153.86 bhp,5,
Maruti Ertiga VDI,Mumbai,11880.44,2016,54000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7,
Toyota Innova 2.5 GX (Diesel) 7 Seater,Chennai,21308.14,2016,90000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,
Tata Manza Aura Safire,Kolkata,2069.5,2010,40000,Petrol,Manual,First,15.0 kmpl,1368 CC,90 bhp,5,
Audi Q7 35 TDI Quattro Premium Plus,Mumbai,58252.48,2015,65938,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7,
Hyundai Verna 1.6 SX VTVT (O) AT,Mumbai,17782.34,2017,16100,Petrol,Automatic,First,17.1 kmpl,1591 CC,121.4 bhp,5,
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Hyderabad,18778.76,2017,3600,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5,
Honda City 1.5 S MT,Jaipur,5825.25,2011,52000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,
Ford Figo Diesel Titanium,Mumbai,4982.12,2014,54000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,
Honda Jazz 1.2 VX i VTEC,Mumbai,9810.94,2016,15399,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5,
Volkswagen Polo Petrol Highline 1.2L,Bangalore,6055.19,2012,75000,Petrol,Manual,Second,16.47 kmpl,1198 CC,73.9 bhp,5,
Honda City i-VTEC S,Delhi,5472.67,2010,76752,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5,
Honda City ZX GXi,Mumbai,1916.2,2005,56000,Petrol,Manual,Second,17.7 kmpl,1497 CC,78 bhp,5,
Maruti Wagon R LXI CNG,Pune,5595.3,2015,70000,CNG,Manual,First,26.2 kmpl,998 CC,58.2 bhp,5,
Honda CR-V 2.4L 4WD AT AVN,Kolkata,19162,2013,46125,Petrol,Automatic,Second,12.0 kmpl,2354 CC,187.4 bhp,5,
BMW 5 Series 2013-2017 520d Luxury Line,Ahmedabad,35258.08,2014,35000,Diesel,Automatic,Second,18.12 kmpl,1995 CC,190 bhp,5,
Ambassador Classic Nova Diesel,Chennai,2069.5,2003,80000,Diesel,Manual,Third,12.8 kmpl,1489 CC,35.5 bhp,5,
Mahindra Scorpio VLX 2.2 mHawk BSIII,Coimbatore,9688.31,2012,62729,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8,
Volkswagen Vento Diesel Comfortline,Kolkata,5212.06,2012,34000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5,
Maruti Zen VX,Jaipur,1180.38,1999,70000,Petrol,Manual,Second,17.3 kmpl,993 CC,60 bhp,5,
Maruti 800 DX BSII,Jaipur,1379.66,2009,32000,Petrol,Manual,First,16.1 kmpl,796 CC,37 bhp,4,
Toyota Corolla Altis 1.8 VL CVT,Delhi,27593.28,2017,21000,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5,23.25 Lakh
BMW 3 Series 328i Sport Line,Pune,29126.24,2013,49000,Petrol,Automatic,First,14.59 kmpl,1997 CC,245 bhp,5,
Ford Ikon 1.3 Flair,Chennai,1686.26,2007,40000,Petrol,Manual,Third,13.8 kmpl,1299 CC,70 bhp,5,
Chevrolet Beat LT,Pune,3065.92,2012,78000,Petrol,Manual,Second,18.6 kmpl,1199 CC,79.4 bhp,5,
Toyota Corolla Altis 1.4 DG,Ahmedabad,9964.24,2012,52000,Diesel,Manual,First,21.43 kmpl,1364 CC,86.79 bhp,5,19.27 Lakh
Mahindra XUV500 W4,Bangalore,14486.47,2014,65213,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7,
Hyundai Xcent 1.1 CRDi Base,Mumbai,6131.84,2016,170000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Kochi,49437.96,2017,36884,Diesel,Automatic,First,13.0 kmpl,2143 CC,204 bhp,5,
Hyundai i10 Sportz,Pune,3219.22,2009,62500,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,
Toyota Corolla Altis VL AT,Mumbai,14946.36,2015,68000,Petrol,Automatic,Second,14.28 kmpl,1798 CC,138.03 bhp,5,
Toyota Corolla 1.8 J,Kolkata,9657.65,2014,40748,Petrol,Manual,First,14.53 kmpl,1798 CC,138 bhp,5,
Audi Q3 2.0 TDI Quattro,Hyderabad,32192.16,2013,60000,Diesel,Automatic,First,17.32 kmpl,1968 CC,184 bhp,5,
Hyundai i20 Magna Optional 1.4 CRDi,Mumbai,7128.26,2014,12400,Diesel,Manual,First,21.9 kmpl,1396 CC,88.8 bhp,5,
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Mumbai,26060.32,2013,87000,Diesel,Automatic,Second,19.27 kmpl,2143 CC,167.62 bhp,5,
Maruti Ritz VDi,Pune,6668.38,2013,20248,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5,
Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,22718.47,2017,52383,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5,
Jaguar XE 2.0L Diesel Prestige,Delhi,61318.4,2018,1000,Diesel,Automatic,First,13.6 kmpl,1999 CC,177 bhp,5,52.77 Lakh
Mahindra Xylo D4,Chennai,9427.7,2016,85000,Diesel,Manual,First,14.95 kmpl,2489 CC,93.7 bhp,7,11.67 Lakh
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,17245.8,2014,47000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,
Toyota Camry 2.5 Hybrid,Pune,49054.72,2018,17585,Petrol,Automatic,First,19.16 kmpl,2494 CC,157.7 bhp,5,
Audi Q5 3.0 TDI Quattro,Coimbatore,69933.64,2018,32496,Diesel,Automatic,First,13.22 kmpl,2967 CC,241.4 bhp,5,
Maruti Swift VDI,Kochi,9565.67,2017,34613,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,7.92 Lakh
Maruti Ertiga VDI Limited Edition,Chennai,7358.21,2015,153000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7,
Maruti Swift VXi BSIV,Chennai,6898.32,2014,54000,Petrol,Manual,Second,16.1 kmpl,1197 CC,85 bhp,5,
Hyundai i10 Sportz,Kochi,5932.56,2015,16900,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,
Hyundai i10 Sportz,Delhi,4215.64,2013,62334,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,
Maruti Baleno Sigma 1.2,Kochi,10071.55,2018,23714,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,
Hyundai Accent Executive,Jaipur,3065.92,2010,52325,Petrol,Manual,First,16.36 kmpl,1495 CC,93.7 bhp,5,
Honda Brio S MT,Ahmedabad,5595.3,2012,50000,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,
Maruti Swift ZDi,Hyderabad,10654.07,2016,55746,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,
Hyundai Xcent 1.2 VTVT S,Bangalore,8431.28,2014,54000,Petrol,Manual,First,20.14 kmpl,1197 CC,81.86 bhp,5,7.85 Lakh
Mahindra XUV500 W8 2WD,Kolkata,10730.72,2013,43000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7,
Mercedes-Benz E-Class E250 CDI Avantgrade,Delhi,36791.04,2014,40000,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,5,
Land Rover Freelander 2 TD4 S,Bangalore,16862.56,2010,125000,Diesel,Automatic,Second,0.0 kmpl,2179 CC,115 bhp,5,
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Bangalore,49821.2,2016,51944,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5,
Hyundai i20 Asta 1.4 CRDi,Kochi,9887.59,2015,46950,Diesel,Manual,First,21.27 kmpl,1396 CC,88.76 bhp,5,
Skoda Octavia Elegance 2.0 TDI AT,Mumbai,24144.12,2015,23000,Diesel,Automatic,First,19.3 kmpl,1968 CC,141 bhp,5,
Honda City 1.5 S MT,Mumbai,8431.28,2014,54546,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,
Toyota Fortuner 4x2 AT,Kochi,29172.23,2015,51535,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7,
Audi Q3 2.0 TDI Quattro,Kolkata,23377.64,2013,45000,Diesel,Automatic,First,17.32 kmpl,1968 CC,184 bhp,5,
Maruti Alto K10 2010-2014 VXI,Hyderabad,3679.1,2012,46004,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5,
Tata Indigo eCS LX BSIV,Chennai,3525.81,2011,124000,Diesel,Manual,First,23.03 kmpl,1396 CC,69 bhp,5,
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,21997.98,2014,77395,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,
Maruti Alto 800 2016-2019 CNG LXI,Mumbai,5365.36,2018,10600,CNG,Manual,First,33.44 kmpl,796 CC,40.3 bhp,4,
Honda City i-VTEC CVT VX,Kochi,18349.53,2018,22974,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5,15.55 Lakh
Hyundai Santro GLS I - Euro II,Jaipur,2452.74,2009,89000,Petrol,Manual,Second,0.0 kmpl,999 CC,null bhp,5,
Toyota Fortuner 2.8 2WD MT,Ahmedabad,28972.94,2015,65012,Diesel,Manual,First,14.24 kmpl,2755 CC,174.5 bhp,7,32.45 Lakh
Hyundai Grand i10 Sportz,Ahmedabad,8277.98,2017,17125,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,
Maruti Eeco 7 Seater Standard,Hyderabad,4522.23,2015,90413,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,4.83 Lakh
Volkswagen Polo Petrol Highline 1.2L,Bangalore,7818.1,2013,37000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5,
Maruti Wagon R LXI Minor,Jaipur,2299.44,2006,65000,Petrol,Manual,First,18.9 kmpl,1061 CC,67 bhp,5,
Honda City 1.5 V MT,Bangalore,7511.5,2011,66000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,
Honda Civic 2010-2013 1.8 S MT,Mumbai,4445.58,2010,86000,Petrol,Manual,First,14.8 kmpl,1799 CC,130.2 bhp,5,
Honda City 1.5 EXI,Pune,1762.9,2005,98437,Petrol,Manual,First,13.0 kmpl,1493 CC,100 bhp,5,
Hyundai i20 1.2 Magna,Kolkata,3525.81,2010,18000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5,
Hyundai Grand i10 CRDi Sportz Celebration Edition,Kochi,9182.43,2018,35070,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5,
Volkswagen Vento Petrol Highline AT,Pune,5212.06,2011,42000,Petrol,Automatic,Third,14.4 kmpl,1598 CC,103.6 bhp,5,
Hyundai i10 Sportz 1.2,Kolkata,2606.03,2009,40000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,
Hyundai i20 Asta,Kolkata,3050.59,2009,43000,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5,
Chevrolet Beat LS,Pune,3832.4,2012,65000,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5,
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,7434.86,2013,74000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,
Ford Figo Petrol LXI,Hyderabad,4062.34,2010,51192,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5,
Audi TT 2.0 TFSI,Kochi,41926.46,2014,14262,Petrol,Automatic,First,9.9 kmpl,1984 CC,207.8 bhp,2,
Honda City i DTEC VX,Jaipur,10577.42,2015,66339,Diesel,Manual,Second,25.1 kmpl,1498 CC,98.6 bhp,5,
Ford Figo Diesel Titanium,Hyderabad,5365.36,2013,90200,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,
Toyota Innova 2.5 ZX Diesel 7 Seater,Delhi,19162,2015,57854,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,
Maruti Ciaz 1.4 AT Alpha,Delhi,14103.23,2017,32000,Petrol,Automatic,First,19.12 kmpl,1373 CC,91.1 bhp,5,
Hyundai Grand i10 AT Asta,Mumbai,7511.5,2015,29631,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5,
Honda City 1.3 DX,Delhi,4905.47,2009,55005,Petrol,Manual,First,12.8 kmpl,,,,
Ford EcoSport 1.0 Ecoboost Titanium Plus BE,Kochi,8507.93,2014,54173,Petrol,Manual,First,18.88 kmpl,999 CC,123.24 bhp,5,
Skoda Octavia Ambition 1.8 TSI AT,Ahmedabad,20694.96,2014,50000,Petrol,Automatic,First,14.7 kmpl,1798 CC,177.6 bhp,5,
Fiat Linea Emotion (Diesel),Kolkata,3985.7,2010,145000,Diesel,Manual,First,20.4 kmpl,1248 CC,91.7 bhp,5,
Maruti Swift Lxi BSIII,Jaipur,6898.32,2015,78000,Petrol,Manual,First,16.1 kmpl,1298 CC,88.2 bhp,5,
Land Rover Discovery 4 TDV6 SE,Delhi,52120.64,2013,65000,Diesel,Automatic,Second,11.8 kmpl,2993 CC,180 bhp,7,
Toyota Innova 2.5 V Diesel 7-seater,Hyderabad,18395.52,2012,120000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7,
Maruti Swift LDI,Mumbai,8048.04,2015,14000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,7.13 Lakh
Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,33050.62,2014,57456,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,
BMW 5 Series 520d Luxury Line,Coimbatore,37833.45,2012,44450,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5,71.82 Lakh
Hyundai i20 Magna Optional 1.2,Delhi,5625.96,2013,63777,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5,
BMW X1 M Sport sDrive 20d,Mumbai,45222.32,2016,31000,Diesel,Automatic,First,17.05 kmpl,1995 CC,190 bhp,5,50.97 Lakh
Toyota Etios G,Delhi,4752.18,2012,60000,Petrol,Manual,First,17.6 kmpl,1496 CC,88.73 bhp,5,
Tata Indigo LX,Ahmedabad,4445.58,2015,78008,Diesel,Manual,First,17.0 kmpl,1405 CC,70 bhp,5,
Mercedes-Benz M-Class ML 350 4Matic,Bangalore,65917.28,2014,33000,Diesel,Automatic,Second,0.0 kmpl,2987 CC,165 bhp,5,
Volkswagen Beetle 2.0,Mumbai,24450.71,2009,27078,Petrol,Automatic,First,10.98 kmpl,1984 CC,114.4 bhp,4,
Volkswagen Polo GT TDI,Hyderabad,6898.32,2011,57275,Diesel,Manual,First,19.7 kmpl,1598 CC,103.6 bhp,5,
Hyundai Grand i10 CRDi Magna,Delhi,5350.03,2014,45000,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5,
Maruti Swift VDI BSIV,Delhi,6515.08,2014,57319,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,
Hyundai Verna CRDi 1.4 E,Chennai,2912.62,2008,121097,Diesel,Manual,Second,24.0 kmpl,1396 CC,88.76 bhp,5,10.73 Lakh
BMW 5 Series 2003-2012 525d,Mumbai,25401.15,2011,89000,Diesel,Automatic,First,16.73 kmpl,1995 CC,218 bhp,5,
Honda City 1.5 S MT,Bangalore,8814.52,2012,72000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,
Audi A4 2.0 TDI,Delhi,21461.44,2013,36000,Diesel,Automatic,Second,16.55 kmpl,1968 CC,147.51 bhp,5,
Fiat Linea Classic Plus 1.3 Multijet,Jaipur,3832.4,2013,86000,Diesel,Manual,Second,19.5 kmpl,1248 CC,75 bhp,5,9.5 Lakh
